name,customer_id,customer_tenure,number_of_services_or_products,average_monthly_usage,last_interaction_date,days_since_last_interaction,number_of_complaints,complaints_resolved_ratio,total_spent,average_transaction_value,outstanding_balance,payment_frequency,discount_or_offer_received,customer_support_calls,account_status,churn_flag
Isabella Wilson,9d6b6fe4-fcad-4bd4-8aaf-5aced7c32008,10,5,383.1,2024-12-11,210,0,0.0,6008.64,751.08,1236.61,Monthly,0,12,Closed,0
Ava Jones,45814a4b-3f9e-43b6-8791-d8013a7539aa,32,8,450.99,2024-11-24,227,3,0.79,4449.3,404.48,4687.84,Quarterly,0,13,Active,0
Ava Smith,5e5deac9-6f19-4a9a-9aed-4b255fa95cb9,118,3,354.57,2025-04-21,79,10,0.5,3253.82,216.92,1195.28,Bi-Monthly,0,15,Active,0
Sophia Taylor,504c0b8f-cb87-4953-af8c-9752eeb355e3,75,5,155.79,2024-11-29,222,0,0.0,7217.49,801.94,4546.41,Monthly,0,10,Suspended,0
Isabella Jones,c8f9136c-5284-41f0-b435-62b138d1bc5e,70,8,305.46,2025-01-18,172,3,0.6,1668.98,119.21,2763.89,Quarterly,1,3,Closed,1
Ava Brown,ae1696ee-ee8e-4f32-acc5-c01f60b6bf94,14,8,107.42,2025-06-26,13,3,0.12,1425.61,142.56,3335.49,Quarterly,0,3,Closed,1
Liam Davis,daa1ce1c-ec75-4ff4-8098-e414329a9cee,89,5,243.42,2024-12-07,214,6,0.95,6254.73,568.61,3294.05,Bi-Monthly,1,2,Active,0
Isabella Brown,eba203c3-10fb-4d1f-bcf5-e71cae42d862,19,4,128.66,2024-11-02,249,9,0.64,1746.87,174.69,3855.37,Bi-Monthly,1,0,Suspended,1
Oliver Williams,0978922f-54a4-4867-a47d-68f0dcaee15b,85,4,303.26,2025-04-03,97,9,0.08,2470.62,190.05,723.09,Bi-Monthly,1,8,Suspended,1
William Williams,075f43ed-2d17-4b7f-9256-439a5927b412,81,8,346.76,2025-04-13,87,3,0.78,6456.37,430.42,501.68,Bi-Monthly,0,2,Suspended,0
Sophia Brown,dce2aa77-20f0-4bfe-bcf7-c253a9126c43,56,8,444.11,2025-04-26,74,5,0.62,4165.51,378.68,467.95,Bi-Monthly,1,3,Suspended,0
Sophia Johnson,2c09f68b-e521-4a2b-930c-9467d71689e2,103,3,353.35,2025-02-02,157,6,0.54,4900.24,544.47,1368.56,Monthly,0,14,Active,0
Sophia Moore,bad57c91-b762-40d7-9081-812d0b863615,119,5,175.28,2025-01-04,186,2,0.03,4180.13,597.16,2795.15,Monthly,0,7,Closed,0
Olivia Taylor,7b2cc25d-88c0-4952-9556-e129623e54e2,71,3,293.6,2025-05-21,49,0,0.0,6459.34,461.38,1496.98,Quarterly,1,0,Closed,0
James Davis,38c971c4-64c0-4c99-8493-353fa17036fe,32,6,460.36,2025-04-26,74,10,0.45,5633.5,938.92,4686.92,Monthly,0,2,Active,0
James Wilson,a15e15d4-477b-4ec3-bfc0-d94fd17eac32,113,2,223.9,2024-11-26,225,3,0.6,4269.44,853.89,568.4,Quarterly,0,2,Closed,1
Olivia Williams,c837cbce-a430-4a45-8d23-dfe66315bb00,120,1,354.13,2024-07-26,348,7,0.51,6428.95,428.6,4566.42,Monthly,1,14,Closed,0
Oliver Jones,9ad85651-8ff2-427c-801f-53ddc7898b37,76,4,322.0,2025-06-28,11,8,0.5,4200.31,525.04,3635.21,Monthly,0,11,Suspended,1
Emma Taylor,ebc6452d-34d8-491c-b201-a515173402ff,15,1,128.98,2025-03-01,130,7,0.09,1162.16,105.65,4176.47,Bi-Monthly,1,4,Closed,1
James Brown,31ffacd5-a89c-417d-bd31-5ef61166303b,55,1,376.37,2025-02-19,140,7,0.29,4398.82,399.89,1002.16,Monthly,1,15,Suspended,1
William Johnson,a646f8d5-d99f-48bb-aef7-406690846867,72,3,406.22,2025-03-21,110,9,0.75,1790.21,223.78,1646.1,Monthly,1,8,Suspended,1
Emma Taylor,0b5476c8-7491-4392-8595-48bb6c52655a,19,8,245.15,2025-02-11,148,3,0.32,5908.72,656.52,310.56,Bi-Monthly,0,8,Closed,0
Oliver Williams,89357517-fe4d-44e7-8163-59a962b5e624,105,8,309.92,2024-09-20,292,0,0.0,7407.83,823.09,88.04,Monthly,1,1,Suspended,0
Sophia Jones,31048f19-ee96-4e92-a480-1dd500afd187,8,6,195.39,2024-11-11,240,1,0.67,6740.26,612.75,3871.65,Monthly,1,15,Closed,0
Oliver Smith,e75e5aa8-8013-49a8-80b8-bbb05b086c7f,98,3,452.94,2025-05-06,64,6,0.58,9449.19,674.94,1080.65,Bi-Monthly,0,2,Closed,1
Isabella Taylor,d292acfb-702e-4f42-add6-78b26c7249ca,82,7,475.8,2024-09-16,296,9,0.63,1847.85,167.99,2565.41,Bi-Monthly,1,10,Active,0
Noah Miller,075eeb1f-db5a-498f-b944-bafc896edff8,45,3,309.39,2025-04-24,76,5,0.72,7987.6,998.45,2791.17,Monthly,0,5,Closed,0
William Moore,49818ef9-de16-4c8f-ba3f-33b4b5ebf0b2,10,3,169.21,2024-11-10,241,7,0.43,2193.31,274.16,282.88,Quarterly,1,14,Closed,1
James Davis,d486163c-8d39-45e9-93a7-ab727665c3fc,81,8,356.01,2025-06-28,11,10,0.92,3821.9,254.79,2230.38,Bi-Monthly,0,12,Suspended,1
Oliver Moore,c943e982-f4b4-4a5d-b4fd-020cda115b9c,1,5,247.76,2024-12-14,207,3,0.83,2533.82,422.3,726.38,Quarterly,0,2,Closed,1
Isabella Brown,f3c2fc06-65f1-43c1-a2f5-2b49390644fa,27,7,394.13,2024-08-13,330,10,0.86,7679.19,853.24,2538.19,Monthly,1,11,Closed,1
William Brown,645f1a7f-6d15-4f33-b276-aa4c6cd3a877,14,3,415.27,2025-03-30,101,0,0.0,2842.79,218.68,3983.77,Bi-Monthly,1,8,Suspended,0
Liam Brown,af02b210-0e3c-4e01-8850-b175fde80c40,27,2,293.45,2024-08-13,330,7,0.99,8503.12,1214.73,1557.16,Bi-Monthly,0,2,Active,0
Oliver Miller,565de64d-1a0d-4b61-b11c-01b8c0129a8b,13,1,408.42,2024-12-21,200,10,0.7,2358.85,393.14,758.3,Quarterly,0,11,Closed,1
Ava Brown,94fcba22-866d-4e52-ab4c-5cd1739ea34f,62,6,114.42,2024-12-07,214,3,0.98,8273.51,827.35,911.76,Monthly,1,3,Closed,1
James Moore,708b6795-464f-49dc-a3b8-3f8eb9b9b718,90,5,219.48,2025-01-10,180,7,0.87,2114.12,352.35,558.85,Monthly,1,3,Suspended,1
Liam Moore,600f1358-5450-47da-bacc-4e7fc91834ef,24,6,346.52,2024-07-16,358,0,0.0,1477.23,113.63,2459.43,Quarterly,1,10,Active,0
Sophia Johnson,2c04bbba-8ade-4004-870b-e5f1f395c9aa,2,5,367.37,2025-06-01,38,4,0.16,1449.53,131.78,2316.66,Quarterly,0,3,Active,0
Sophia Miller,470fcfdf-1a9e-43c1-ac75-e329c7ac1e85,102,2,488.16,2024-07-10,364,1,0.94,5418.77,451.56,4401.36,Monthly,1,8,Suspended,0
Sophia Jones,e90d11d5-801b-4d0e-be42-f5303dd7e66c,32,6,256.35,2024-10-26,256,0,0.0,5175.43,739.35,1167.21,Bi-Monthly,1,6,Active,0
Noah Wilson,f2e1b865-1b31-4a51-9d5d-c21abd5fc60a,13,6,109.96,2024-10-01,281,3,0.21,6537.61,726.4,731.83,Bi-Monthly,0,4,Active,0
William Smith,5aeda0e6-d873-4a1e-a33e-c7dfe9143bb9,38,1,487.19,2024-09-20,292,0,0.0,8686.15,868.62,2920.71,Quarterly,0,5,Suspended,0
Liam Williams,73910746-961b-42d2-b11c-1277d27170c4,89,5,301.37,2025-01-20,170,3,0.03,8555.29,611.09,696.25,Bi-Monthly,1,4,Suspended,0
Ava Taylor,13f99ced-590d-49d9-bdee-27ccd260c58b,73,3,165.86,2024-08-21,322,1,0.87,6390.52,426.03,4226.9,Quarterly,0,11,Suspended,0
Sophia Moore,68aacc75-c5c6-4f39-8a82-b50de6f4602d,9,5,210.23,2024-09-29,283,5,0.34,3957.55,395.75,766.86,Bi-Monthly,1,9,Suspended,0
Liam Miller,f34db67c-25cd-4432-8935-80d95b86d4cb,21,8,139.88,2025-06-27,12,2,0.38,6151.06,615.11,4732.12,Quarterly,0,7,Closed,0
Olivia Miller,252e8465-df90-4407-bb1c-6130c5f2c7d1,45,7,126.34,2024-09-16,296,2,0.84,9004.19,750.35,346.25,Bi-Monthly,0,4,Closed,0
Emma Moore,f0e1cb21-7fe4-4fef-bbb8-aff157bb96ef,85,8,105.66,2025-01-05,185,1,0.21,1430.07,204.3,3159.82,Bi-Monthly,0,7,Active,0
Noah Smith,d8099a24-1be6-47d8-b4b6-197258593c11,112,6,274.61,2024-11-09,242,6,0.71,7519.44,751.94,1241.67,Bi-Monthly,0,7,Active,0
Oliver Davis,f66e6dd0-ef0f-4c6f-a4f1-7bcd09f5f435,93,1,491.2,2024-09-24,288,10,0.58,4415.56,367.96,4563.64,Quarterly,0,6,Closed,0
William Smith,bef6854f-8cd9-4b7d-9d2d-259f4bc97aff,65,2,158.38,2024-10-28,254,3,0.74,8666.21,1733.24,4149.71,Quarterly,0,0,Closed,1
Sophia Davis,e51643d6-bada-49ca-a192-a23770199055,82,8,130.51,2024-12-15,206,10,0.39,1392.45,278.49,1250.47,Quarterly,0,0,Closed,0
Liam Moore,03f9c119-372e-4258-8391-df2160d3ad39,100,7,330.77,2024-10-21,261,7,0.44,5504.4,688.05,921.05,Monthly,1,2,Closed,1
Olivia Davis,8c5a7e04-3485-4c11-a2c1-d127f91ec8c6,82,2,370.55,2025-05-23,47,9,0.32,9186.49,835.14,4583.37,Bi-Monthly,1,15,Closed,1
Liam Johnson,354f9a4a-25b4-4816-88ea-43a162ae7a64,23,2,197.89,2024-11-08,243,6,0.78,1842.79,230.35,4296.54,Quarterly,0,9,Active,0
Emma Moore,13a1da5d-1032-492f-a0e9-a5516668d51a,77,5,378.37,2025-02-16,143,1,0.56,7141.24,476.08,3256.72,Quarterly,1,7,Active,0
Ava Jones,56b16972-d331-4d9a-974e-dda231bf20cb,16,6,283.01,2025-03-30,101,1,0.12,7477.74,1068.25,1346.42,Quarterly,0,6,Active,0
Oliver Williams,23d8f654-4c66-4552-b5b1-dd1cccb8baca,73,3,194.59,2025-07-03,6,0,0.0,9949.73,994.97,3986.97,Quarterly,1,3,Closed,1
Ava Smith,e2b60997-0e73-45ad-ba6a-7d1ef4ffb848,41,8,390.23,2025-05-28,42,3,0.29,8700.15,1087.52,3718.26,Bi-Monthly,1,13,Active,0
William Smith,ec76fceb-553a-49db-92f2-2afb37a2703e,57,1,314.04,2024-10-01,281,1,0.86,8297.81,921.98,2279.27,Bi-Monthly,1,14,Closed,1
Oliver Williams,52cc28db-e1a9-41a8-80ee-d2281944149c,53,2,211.94,2025-06-26,13,4,0.01,3493.14,499.02,3323.99,Quarterly,1,15,Suspended,1
Sophia Taylor,b0a0bfbd-430f-4fc9-a3f8-e30e2d81e7b6,89,8,296.11,2025-02-18,141,6,0.52,6737.04,612.46,2237.31,Monthly,0,10,Suspended,0
Emma Brown,4ca95ce4-0ca4-4656-982c-4da572c16764,34,1,226.95,2025-01-18,172,8,0.31,8650.09,1081.26,3156.37,Quarterly,0,5,Suspended,1
Noah Moore,f6c92c56-88ed-4872-8040-1e4e85d9e37a,91,8,455.93,2025-02-12,147,9,0.74,4709.35,362.26,2924.34,Quarterly,0,5,Active,0
Sophia Brown,32b7649f-1190-4a5e-8122-82c2a849716d,85,8,138.01,2025-03-18,113,10,0.26,9646.84,876.99,1177.86,Monthly,1,5,Suspended,0
James Miller,da87c28f-6c2e-4146-bd2e-eaba303e81c5,116,5,112.14,2024-07-29,345,6,0.48,5888.37,1177.67,4269.91,Bi-Monthly,1,9,Suspended,1
Olivia Brown,084cbbe2-30f8-4808-b841-96c008803ff1,11,1,232.95,2024-07-22,352,3,0.61,9438.94,1048.77,2826.49,Monthly,1,3,Closed,1
Noah Miller,581b184f-080b-4b76-8a00-5df213fd3945,76,8,153.23,2025-02-27,132,2,0.12,5999.07,749.88,3908.53,Bi-Monthly,0,8,Active,0
Ava Smith,1e30dbb4-6139-407f-b305-c3683a884adb,58,5,255.9,2025-06-27,12,9,0.7,3556.1,237.07,2116.47,Monthly,1,14,Closed,1
Isabella Johnson,ab65c5db-0248-4a91-a856-127bf29bb571,42,3,361.86,2025-06-22,17,10,0.9,8644.17,1440.69,3010.13,Monthly,0,3,Closed,1
Sophia Johnson,4ba87090-0e1f-4825-b04c-9c2293cd5201,73,8,269.46,2024-11-08,243,6,0.41,9417.22,1883.44,1986.71,Monthly,0,6,Active,0
Emma Moore,d8e6d818-1222-482e-a242-b1d8b8ce359d,99,1,320.0,2024-11-20,231,2,0.85,7994.27,1598.85,1332.51,Quarterly,1,1,Closed,0
Ava Wilson,f8e0b4ca-c34f-4936-b379-43ca46b68a53,112,4,338.56,2024-07-25,349,8,0.21,7748.15,1106.88,1219.66,Bi-Monthly,1,5,Suspended,0
William Brown,8e4d7e8a-6b48-4ffc-a543-d5ba9db341db,50,4,413.69,2024-08-22,321,6,0.23,7513.35,683.03,790.12,Monthly,1,0,Active,0
Liam Wilson,c5be0596-054d-4193-aa76-81853aaf2446,59,3,228.84,2025-04-28,72,7,0.24,3653.05,260.93,4088.87,Bi-Monthly,1,0,Closed,1
Sophia Wilson,01b85ef8-6c85-492d-bec0-a3fa1f80fcbd,44,5,216.43,2025-06-22,17,1,0.79,3967.28,360.66,2655.31,Monthly,1,2,Suspended,0
Oliver Davis,0ff8bd8a-714c-4ba1-a309-3a14773408ac,79,3,187.96,2025-06-02,37,8,0.7,5226.95,373.35,2669.13,Bi-Monthly,0,14,Suspended,0
James Jones,3f70f8ad-fba0-4c62-90ad-4f98240cea58,105,3,220.5,2024-12-13,208,2,0.75,4354.97,435.5,4081.98,Bi-Monthly,0,0,Suspended,1
Sophia Brown,4e68278b-67ab-4f69-9937-0f89f0394e22,45,1,100.52,2024-09-29,283,2,0.53,6778.07,1355.61,872.23,Monthly,1,10,Closed,0
Liam Jones,a4035d5c-42f3-4995-a399-6c4f98b4f09e,13,8,159.91,2024-09-14,298,9,0.92,6076.69,868.1,3361.15,Monthly,1,1,Suspended,0
Ava Jones,38200917-80de-438f-89ab-a2d10afeb3db,17,1,490.66,2025-01-04,186,4,1.0,3486.76,249.05,2412.05,Bi-Monthly,0,7,Suspended,0
Liam Smith,4bfc913d-1eff-4073-89f2-1306d28f1a16,50,2,494.75,2025-04-22,78,8,0.15,4428.79,738.13,2880.14,Quarterly,1,4,Closed,1
William Davis,e0541487-4ae2-47d8-8b30-3b76d7c5c4c2,39,6,280.56,2024-10-09,273,3,0.56,3007.81,214.84,3927.47,Quarterly,1,6,Suspended,0
Oliver Davis,e32fe5a4-9531-4acd-8cfc-62d4aedc51bd,17,1,151.72,2025-01-04,186,2,0.96,8845.39,1474.23,2986.46,Monthly,0,12,Active,0
Ava Johnson,0891b2f4-26dd-44a6-9b5d-439f9e4803a3,72,8,411.51,2024-12-10,211,10,0.67,2824.59,353.07,4193.2,Monthly,1,14,Active,0
Ava Johnson,aa3041a2-e446-4d6a-b33a-e909a397ea93,57,3,208.22,2024-08-27,316,6,0.81,5098.35,728.34,4633.14,Monthly,1,9,Suspended,1
Olivia Jones,61aa81bb-4fe6-4ef7-b793-905dd13c0e52,46,1,469.25,2024-08-01,342,6,0.01,8401.67,600.12,4930.56,Quarterly,1,3,Active,0
William Miller,5369ee63-78a4-447a-9e0e-d7e057699c73,46,6,408.69,2024-10-11,271,3,0.25,1290.91,86.06,3481.76,Quarterly,1,0,Suspended,1
James Johnson,c3d41e94-0742-4a63-8537-fcd6b192c511,108,8,319.12,2024-12-18,203,0,0.0,6646.88,511.3,428.37,Bi-Monthly,0,15,Active,0
Emma Wilson,284d9b75-e44b-400c-85c4-e4d37d459781,44,1,474.68,2025-03-23,108,6,0.12,8206.55,746.05,2858.5,Bi-Monthly,1,14,Active,0
Emma Davis,f0154d45-ee6f-4831-8f82-d7915baa2b66,100,8,124.01,2024-08-16,327,9,0.29,3505.26,318.66,2983.47,Monthly,0,2,Closed,1
Emma Taylor,1389c528-5995-4d2a-bec4-9d798d9b4c2b,111,1,458.85,2024-09-15,297,4,0.57,6802.68,485.91,4836.85,Bi-Monthly,1,6,Suspended,1
James Miller,071581fe-ec13-489d-954c-91c203e93773,19,6,409.51,2025-02-07,152,7,0.99,7561.78,1080.25,3440.4,Quarterly,0,15,Active,0
Oliver Smith,f70ac3a4-98dd-4814-ba9d-b20ee5384b85,35,8,109.37,2024-09-09,303,9,0.1,7644.36,1092.05,2797.09,Monthly,1,0,Active,0
Isabella Brown,3eac2455-ca22-4436-add6-86a9e2fdf4f5,91,6,494.25,2024-12-23,198,10,0.93,1685.12,153.19,4785.83,Monthly,1,6,Closed,1
James Moore,9dc31fa2-781d-41ca-826f-7a359bd466c8,50,8,195.15,2025-06-26,13,7,0.14,5201.24,472.84,839.24,Monthly,1,7,Suspended,0
Sophia Williams,a825f689-376a-403d-b227-aa7c5f705a2b,87,2,280.41,2024-08-25,318,3,0.49,8363.86,836.39,3333.94,Bi-Monthly,1,14,Active,0
Olivia Moore,b6a448b6-fb95-4f5c-89ea-8653b47c91e2,112,5,384.44,2024-12-19,202,3,0.03,7480.11,831.12,3344.12,Bi-Monthly,0,9,Active,0
Noah Brown,5fcc0c08-1915-48f7-8d10-0e58f3d09bfc,51,2,380.96,2025-04-02,98,2,0.26,7009.59,1168.27,1292.34,Bi-Monthly,1,2,Active,0
William Wilson,9745ebb4-82f0-4e37-89da-ad12ee541429,53,3,354.97,2025-03-10,121,3,0.51,1272.86,159.11,1131.32,Bi-Monthly,0,8,Suspended,1
Liam Jones,98c71edb-c981-4783-9acf-a52397e3ae07,50,3,429.07,2024-11-15,236,5,0.41,3010.08,334.45,2211.09,Monthly,1,15,Active,0
Noah Taylor,85dffe4b-461e-49db-b938-c766316bb093,109,8,177.44,2024-10-03,279,4,0.13,2240.02,248.89,2061.48,Bi-Monthly,1,4,Suspended,0
James Williams,56433cb0-1f61-4f3d-a6fc-9ad1c250d267,101,8,256.69,2024-11-16,235,1,0.92,2863.78,204.56,4489.39,Bi-Monthly,1,8,Closed,1
Liam Smith,82493e91-78a5-4c8b-bea4-ecb0fbe34425,43,7,244.66,2024-12-11,210,2,0.2,2082.77,347.13,4372.33,Monthly,0,10,Closed,1
Ava Moore,c7b7174e-2c47-4fea-93ee-1d4cf3d9a3d2,110,1,389.74,2025-05-15,55,5,0.86,4239.26,302.8,4016.75,Monthly,1,7,Closed,0
Emma Smith,42c8097a-6724-4c04-85e3-27afd1303436,86,8,434.82,2024-11-06,245,10,0.25,7897.77,1128.25,2798.79,Quarterly,0,6,Suspended,0
Oliver Smith,ae9022c5-550d-4d7b-8a56-2753171eee6e,4,5,493.07,2024-07-16,358,4,0.11,2116.9,235.21,481.76,Bi-Monthly,1,7,Suspended,0
Sophia Brown,c9ce953a-9974-4534-9167-a31a45ca36fb,9,7,318.31,2024-12-26,195,5,0.89,6554.32,595.85,398.42,Monthly,0,4,Suspended,0
James Smith,0e887ca0-0544-40de-bcec-df9a0ce1c631,87,6,300.82,2024-07-24,350,1,0.54,4595.64,459.56,4149.31,Monthly,1,3,Active,0
Oliver Miller,18bdf8ec-c7f3-4ed2-93d2-53ba9510778d,12,2,214.6,2024-12-18,203,0,0.0,1966.35,280.91,3850.95,Bi-Monthly,1,1,Suspended,1
Emma Brown,18ffe5ae-b817-439f-b983-483eb16deae9,10,1,172.96,2024-07-19,355,9,0.47,7076.58,471.77,2733.88,Monthly,1,2,Closed,1
Noah Johnson,567ee767-ce84-4793-ac61-582ce2130e15,40,6,472.78,2024-09-20,292,0,0.0,3580.86,716.17,4349.89,Quarterly,1,9,Suspended,1
Oliver Wilson,45aede22-3577-47c0-94ac-12fa9cac661e,100,2,437.73,2024-12-26,195,8,0.66,1718.59,143.22,4627.6,Monthly,1,6,Active,0
Sophia Miller,7db440f0-cacb-4c12-8f6f-3fe4539c6740,20,7,110.8,2024-09-05,307,4,0.08,1482.82,247.14,1467.54,Quarterly,0,11,Closed,0
Olivia Moore,e14f7ccd-23ac-4988-850f-6653f114322d,25,8,330.54,2024-10-18,264,7,0.19,2921.52,208.68,3922.88,Monthly,0,2,Closed,1
William Jones,a8ee513d-b03d-4e94-bfa9-96b3bfe8e817,54,7,351.4,2025-06-20,19,2,0.12,6494.96,649.5,4219.04,Bi-Monthly,0,15,Closed,0
Liam Miller,9ab3b9b1-93fa-4e18-8a13-e7e909463e93,105,2,366.99,2025-03-26,105,4,0.89,8397.03,839.7,4049.65,Quarterly,1,4,Active,0
Liam Smith,29f5d547-3f87-4b30-a02d-647b64265606,40,2,228.67,2024-11-18,233,8,0.92,3330.46,555.08,4508.59,Monthly,0,7,Suspended,0
Ava Williams,58a98723-dcd3-4a43-a0cb-90838c7ddd55,104,1,480.28,2025-06-23,16,8,0.7,2480.83,165.39,134.51,Quarterly,0,4,Suspended,0
Isabella Jones,49ccf6cf-a2e5-433c-bf3f-2e615cecf392,80,5,451.24,2025-05-06,64,4,0.98,1697.39,169.74,4333.97,Quarterly,1,11,Suspended,1
Emma Moore,ac6ba8a4-4eda-4f46-85b8-e58c066492a5,56,3,231.65,2025-01-01,189,2,0.35,6167.58,770.95,4909.44,Quarterly,1,8,Active,0
Sophia Jones,746bab04-8d3f-407d-8904-140eb2352138,75,1,419.44,2025-01-29,161,7,0.58,5866.73,533.34,3543.74,Bi-Monthly,1,11,Active,0
Isabella Taylor,af2c5ec8-e17d-4135-8af3-1a538563dd48,29,1,422.8,2024-08-25,318,8,0.44,3641.79,364.18,2432.82,Monthly,1,14,Suspended,0
James Johnson,5a88c498-5a71-4e42-9b6b-8fc02cf3f5b7,91,7,474.26,2025-05-12,58,1,0.16,7220.56,555.43,3164.49,Bi-Monthly,0,14,Suspended,1
Sophia Wilson,3c91b72a-00b9-43d6-aad7-c29624f78b47,31,7,283.62,2025-06-22,17,9,0.15,3608.22,451.03,3467.52,Quarterly,0,13,Closed,1
Emma Smith,3d64319d-c543-47b5-b209-4c62e6999f86,16,6,471.29,2025-01-19,171,10,0.45,2278.25,189.85,1330.14,Quarterly,0,14,Active,0
William Taylor,07d069f3-dc33-48f0-a76c-21725cba4630,11,5,344.86,2025-05-14,56,8,0.15,2812.88,234.41,662.08,Quarterly,0,5,Active,0
Emma Johnson,1e44d674-0ccb-48b7-98b9-3588427fceb6,74,5,101.1,2025-04-05,95,10,0.22,4189.7,349.14,327.14,Monthly,0,9,Active,0
Sophia Jones,7e3ee875-a916-49ec-b9ce-d8f4356af0e0,64,8,313.77,2025-01-04,186,3,0.44,2985.14,298.51,2402.04,Monthly,1,5,Active,0
Isabella Davis,c85a6ae6-564e-4525-9d71-a2a5d1d6aa15,31,7,441.31,2024-11-30,221,2,0.65,2086.56,298.08,4325.0,Bi-Monthly,1,8,Closed,1
Liam Moore,a5d15625-bc31-4625-8bf0-b312baedd7ce,9,3,149.06,2025-05-26,44,4,0.36,9159.81,1017.76,4860.75,Monthly,0,11,Active,0
Liam Smith,3152c8e5-31e0-4ffd-b07b-aa255c395cc2,73,2,341.8,2025-03-09,122,1,0.44,3223.32,268.61,4237.59,Monthly,1,8,Closed,1
Ava Moore,f009afc3-218e-45b7-b8fc-ec02e1e9ef88,60,7,496.06,2025-02-20,139,0,0.0,6733.98,841.75,1687.28,Monthly,1,15,Suspended,0
Noah Brown,db32a1f4-4908-4de6-b540-761ee79315af,82,4,278.17,2024-07-13,361,0,0.0,7265.32,1210.89,3086.08,Monthly,1,1,Suspended,0
Noah Davis,afa8b947-21e0-4c41-b96f-53519fd60697,9,6,161.01,2025-02-22,137,10,0.95,3621.54,724.31,4059.07,Monthly,1,7,Active,0
Liam Jones,e9a798cb-83b2-4790-9021-91be5bfeb984,71,6,464.99,2025-01-28,162,4,0.95,3371.13,481.59,4934.27,Quarterly,1,13,Closed,1
Oliver Wilson,c516fdfc-dd70-4eec-bd4c-c9011d409344,88,2,277.59,2025-05-24,46,6,0.55,4398.28,314.16,4401.16,Bi-Monthly,0,10,Closed,1
Emma Jones,1946a0f2-d6f7-4f1b-9ac9-603003fb368c,83,3,471.38,2024-10-27,255,1,0.11,6661.93,740.21,2546.25,Bi-Monthly,0,14,Active,0
Olivia Miller,cecff16b-6e8a-4610-a882-e7cf18edd384,34,5,363.16,2025-05-14,56,9,0.89,4632.76,308.85,4157.41,Bi-Monthly,1,0,Closed,0
Sophia Wilson,17feed06-ad55-4cd9-8e0f-bc5c11991fe7,93,3,498.99,2025-01-31,159,9,0.57,3489.23,436.15,1657.2,Quarterly,0,4,Suspended,1
William Davis,21a3cec7-920a-4f35-82c4-d2ce52f25ff9,22,6,245.03,2025-01-24,166,8,0.3,1834.65,183.47,2818.0,Quarterly,0,14,Closed,0
James Miller,67be2e74-817f-4856-b20f-668745f50273,25,5,493.84,2025-05-21,49,8,0.45,4482.46,498.05,752.56,Quarterly,1,14,Closed,1
Noah Miller,61c0e8b3-b862-467b-807e-4cdb2c794a08,47,7,340.47,2025-01-26,164,7,0.13,7364.34,490.96,1087.25,Quarterly,1,2,Active,0
James Davis,e094aac8-ca34-4a85-bd56-72212240bb2c,26,2,182.57,2025-03-24,107,2,0.01,3605.55,257.54,298.31,Monthly,0,12,Active,0
Sophia Wilson,69a5251d-0c18-41ac-841d-703a47840ddc,39,2,396.77,2025-05-31,39,7,0.56,1155.14,96.26,2013.11,Quarterly,1,13,Closed,0
Emma Smith,103ef507-def2-400a-879e-5571d517e784,8,1,177.97,2025-04-08,92,6,0.36,1092.05,121.34,3184.29,Quarterly,1,13,Suspended,1
Sophia Miller,253e7f14-50c5-49ca-b5b8-4aebad898aac,60,4,101.27,2024-08-04,339,9,0.12,8911.28,1113.91,189.34,Bi-Monthly,0,5,Closed,0
William Moore,1cde8602-1fe6-4386-a169-82ea967bdff3,1,2,379.48,2024-11-21,230,3,0.86,4159.33,519.92,4394.0,Monthly,0,13,Closed,1
James Johnson,0f244869-9472-4cca-b672-6eb0d4f3c8ea,50,6,386.52,2024-10-16,266,10,0.54,7682.94,548.78,4709.14,Bi-Monthly,0,1,Closed,1
Isabella Davis,2ef816e0-7942-4455-bff2-e6d510acefaa,80,7,354.34,2025-03-20,111,2,0.78,8328.51,925.39,905.24,Bi-Monthly,0,5,Active,0
Olivia Johnson,645e160b-307c-4da9-bfbe-0a4559bbc2ea,26,6,472.96,2024-10-27,255,4,0.15,4120.58,274.71,1632.44,Quarterly,1,11,Active,0
William Brown,abbcd243-e394-42e6-a864-cefd11005ed9,38,7,117.05,2025-06-22,17,2,0.7,9675.21,1209.4,362.41,Bi-Monthly,0,8,Suspended,1
Ava Smith,95152cd2-fa23-4d42-8bd5-18bbf858c301,89,7,354.12,2025-01-03,187,4,0.08,2103.71,175.31,451.36,Quarterly,1,15,Active,0
Liam Williams,823ce4f8-4429-4c02-9f0d-da523ad62e70,14,3,412.08,2024-07-18,356,1,0.18,6799.66,679.97,181.67,Monthly,1,10,Suspended,0
Liam Smith,0dde66f2-7d49-4978-a5fd-d054ab4ecfd9,4,4,433.46,2025-01-16,174,4,0.82,8380.84,644.68,1022.08,Monthly,0,5,Closed,0
Isabella Smith,f5ea2242-dc9b-444e-91af-3e7f21dccb10,46,7,156.31,2024-11-13,238,8,0.07,2771.2,395.89,2689.6,Bi-Monthly,0,13,Suspended,1
Olivia Jones,b0105bd1-d77c-4fff-a79e-3d4fd6c5d922,90,3,441.87,2025-04-07,93,8,0.83,4479.61,447.96,72.58,Monthly,0,1,Suspended,1
